Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   Egz.   
Vardas1             Pavarde1            2      2      1      8      3      8      8      5      10     3      6      
Vardas2             Pavarde2            1      4      4      2      8      8      8      10     2      2      5      
Vardas3             Pavarde3            10     10     6      4      7      4      9      1      4      7      8      
Vardas4             Pavarde4            8      9      1      5      3      1      1      7      1      2      8      
Vardas5             Pavarde5            6      3      9      2      3      1      2      7      6      6      7      
Vardas6             Pavarde6            9      7      5      5      3      10     1      1      9      8      2      
Vardas7             Pavarde7            6      7      6      7      5      1      5      2      7      5      4      
Vardas8             Pavarde8            7      10     3      10     9      1      9      2      9      7      3      
Vardas9             Pavarde9            1      9      2      2      4      7      8      7      4      5      8      
Vardas10            Pavarde10           6      2      5      1      5      2      7      7      8      6      9      
Vardas11            Pavarde11           10     8      4      8      9      9      8      2      2      1      7      
Vardas12            Pavarde12           7      9      4      4      6      2      4      5      8      9      3      
Vardas13            Pavarde13           2      2      10     3      8      9      8      4      4      3      6      
Vardas14            Pavarde14           2      4      6      6      6      1      6      2      5      7      6      
Vardas15            Pavarde15           10     5      7      8      9      8      8      5      4      3      1      
Vardas16            Pavarde16           4      1      4      4      3      9      3      9      10     5      10     
Vardas17            Pavarde17           1      9      1      5      6      2      2      5      7      2      5      
Vardas18            Pavarde18           4      3      4      2      3      9      6      8      4      10     5      
Vardas19            Pavarde19           3      4      8      4      5      8      3      3      8      1      9      
Vardas20            Pavarde20           7      9      3      2      6      7      6      2      8      10     3      
Vardas21            Pavarde21           6      6      6      2      4      1      2      6      5      8      7      
Vardas22            Pavarde22           5      2      4      1      2      8      1      2      7      9      2      
Vardas23            Pavarde23           6      10     8      7      3      4      1      5      8      2      6      
Vardas24            Pavarde24           10     1      4      3      7      6      7      7      4      2      9      
Vardas25            Pavarde25           3      1      8      7      10     10     7      10     3      1      2      
Vardas26            Pavarde26           8      9      1      6      6      9      1      4      2      1      8      
Vardas27            Pavarde27           10     9      2      3      4      9      6      6      7      1      1      
Vardas28            Pavarde28           8      2      3      2      4      6      7      2      2      1      3      
Vardas29            Pavarde29           9      5      3      6      2      1      10     1      9      9      8      
Vardas30            Pavarde30           5      8      7      1      2      1      6      9      3      6      7      
Vardas31            Pavarde31           8      8      2      6      1      7      7      3      1      6      10     
Vardas32            Pavarde32           10     1      1      6      9      10     10     8      8      2      3      
Vardas33            Pavarde33           6      9      10     2      5      1      1      10     6      10     4      
Vardas34            Pavarde34           6      10     10     1      8      4      8      3      10     7      6      
Vardas35            Pavarde35           2      4      6      8      5      8      9      2      9      5      10     
Vardas36            Pavarde36           10     4      6      10     8      2      7      10     6      4      3      
Vardas37            Pavarde37           7      1      3      6      2      3      3      3      2      3      5      
Vardas38            Pavarde38           8      9      5      9      4      5      8      2      4      9      10     
Vardas39            Pavarde39           8      10     1      2      5      5      7      10     5      1      6      
Vardas40            Pavarde40           5      5      5      8      5      4      3      7      2      4      8      
Vardas41            Pavarde41           5      7      10     4      3      6      4      6      8      6      8      
Vardas42            Pavarde42           1      10     4      4      1      5      9      6      7      7      2      
Vardas43            Pavarde43           9      8      9      1      7      4      7      5      4      10     6      
Vardas44            Pavarde44           1      3      7      3      4      2      9      5      7      4      2      
Vardas45            Pavarde45           5      5      10     1      5      3      3      7      9      4      8      
Vardas46            Pavarde46           1      1      10     1      6      8      9      2      6      3      3      
Vardas47            Pavarde47           6      3      2      9      7      4      6      9      9      3      4      
Vardas48            Pavarde48           10     6      2      3      4      5      4      9      2      8      6      
Vardas49            Pavarde49           7      4      8      4      9      6      3      4      7      6      8      
Vardas50            Pavarde50           5      5      7      5      7      10     8      6      4      6      6      
Vardas51            Pavarde51           8      9      9      7      4      4      1      4      2      9      7      
Vardas52            Pavarde52           3      6      3      2      4      5      4      10     6      6      10     
Vardas53            Pavarde53           3      7      8      4      8      2      9      10     2      3      10     
Vardas54            Pavarde54           6      7      7      3      1      2      6      3      1      1      2      
Vardas55            Pavarde55           4      8      7      7      9      6      6      2      1      8      3      
Vardas56            Pavarde56           10     8      7      2      6      7      10     1      3      8      10     
Vardas57            Pavarde57           7      2      2      10     5      4      8      3      4      8      9      
Vardas58            Pavarde58           3      10     3      10     3      3      8      5      10     10     9      
Vardas59            Pavarde59           2      5      6      4      8      5      6      10     4      5      5      
Vardas60            Pavarde60           5      7      6      5      5      4      4      5      1      6      5      
Vardas61            Pavarde61           7      8      9      6      10     2      9      10     2      2      4      
Vardas62            Pavarde62           6      3      6      3      3      1      7      1      2      8      10     
Vardas63            Pavarde63           4      1      1      9      3      4      10     1      6      1      3      
Vardas64            Pavarde64           3      1      8      9      5      3      3      2      6      10     2      
Vardas65            Pavarde65           3      1      7      10     8      3      5      4      10     9      5      
Vardas66            Pavarde66           1      8      10     1      9      6      2      3      6      9      9      
Vardas67            Pavarde67           6      5      4      6      5      7      6      9      6      1      1      
Vardas68            Pavarde68           3      4      5      5      4      7      7      2      7      7      4      
Vardas69            Pavarde69           6      2      6      5      8      3      6      5      10     7      4      
Vardas70            Pavarde70           9      7      6      5      4      7      7      2      10     9      3      
Vardas71            Pavarde71           10     10     7      4      10     1      6      3      1      6      5      
Vardas72            Pavarde72           1      5      2      4      3      5      8      4      10     10     3      
Vardas73            Pavarde73           3      6      6      5      1      6      3      4      4      6      8      
Vardas74            Pavarde74           6      9      9      4      1      1      1      10     7      9      8      
Vardas75            Pavarde75           4      2      5      5      7      1      8      2      3      1      3      
Vardas76            Pavarde76           2      1      10     2      1      1      3      1      8      10     9      
